BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,Number of Trail Patrollers,Number of Foragers
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,44,,,,,,,0,47
,0,45,,,,,,,0,47
,0,45,,,,,,,0,47
,0,45,,,,,,,0,47
,0,45,,,,,,,0,47
,0,45,,,,,,,0,47
,0,46,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,47
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,48
,0,47,,,,,,,0,49
,0,47,,,,,,,0,49
,0,47,,,,,,,0,50
,0,47,,,,,,,0,50
,0,47,,,,,,,0,50
,0,47,,,,,,,0,50
,0,47,,,,,,,0,50
,0,47,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,48,,,,,,,0,50
,0,49,,,,,,,0,50
,0,49,,,,,,,0,50
,0,50,,,,,,,0,50
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,50,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,51
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,51,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,52
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,52,,,,,,,0,54
,0,52,,,,,,,0,54
,0,52,,,,,,,0,54
,0,52,,,,,,,0,55
,0,52,,,,,,,0,55
,0,52,,,,,,,0,55
,0,52,,,,,,,0,55
,0,52,,,,,,,0,55
,0,52,,,,,,,0,55
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,52,,,,,,,0,53
,0,53,,,,,,,0,53
,0,53,,,,,,,0,52
,0,54,,,,,,,0,52
,0,54,,,,,,,0,52
,0,54,,,,,,,0,52
,0,55,,,,,,,0,52
,0,55,,,,,,,0,52
,0,55,,,,,,,0,52
,0,55,,,,,,,0,51
,0,55,,,,,,,0,52
,0,55,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,51
,0,53,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,50
,0,52,,,,,,,0,51
,0,51,,,,,,,0,51
,0,52,,,,,,,0,50
,0,51,,,,,,,0,50
,0,51,,,,,,,0,50
,0,51,,,,,,,0,50
,0,51,,,,,,,0,50
,0,51,,,,,,,0,50
,0,51,,,,,,,0,49
,0,51,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,50,,,,,,,0,49
,0,51,,,,,,,0,49
,0,51,,,,,,,0,49
,0,50,,,,,,,0,48
,0,50,,,,,,,0,48
,0,50,,,,,,,0,48
,0,50,,,,,,,0,48
,0,50,,,,,,,0,48
,0,50,,,,,,,0,49
,0,49,,,,,,,0,49
,0,49,,,,,,,0,49
,0,49,,,,,,,0,49
,0,49,,,,,,,0,48
,0,49,,,,,,,0,47
,0,49,,,,,,,0,46
,0,49,,,,,,,0,46
,0,49,,,,,,,0,46
,0,49,,,,,,,0,46
,0,49,,,,,,,0,45
,0,49,,,,,,,0,45
,0,48,,,,,,,0,45
,0,48,,,,,,,0,45
,0,48,,,,,,,0,45
,0,48,,,,,,,0,45
,0,48,,,,,,,0,45
,0,49,,,,,,,0,45
,0,49,,,,,,,0,44
,0,49,,,,,,,0,44
,0,49,,,,,,,0,44
,0,48,,,,,,,0,43
,0,47,,,,,,,0,43
,0,46,,,,,,,0,42
,0,46,,,,,,,0,42
,0,46,,,,,,,0,42
,0,46,,,,,,,0,42
,0,45,,,,,,,0,42
,0,45,,,,,,,0,41
,0,45,,,,,,,0,41
,0,45,,,,,,,0,41
,0,45,,,,,,,0,42
,0,45,,,,,,,0,41
,0,45,,,,,,,0,41
,0,45,,,,,,,0,41
,0,44,,,,,,,0,41
,0,44,,,,,,,0,41
,0,44,,,,,,,0,41
,0,43,,,,,,,0,42
,0,43,,,,,,,0,42
,0,42,,,,,,,0,41
,0,42,,,,,,,0,40
,0,42,,,,,,,0,39
,0,42,,,,,,,0,39
,0,42,,,,,,,0,39
,0,41,,,,,,,0,39
,0,41,,,,,,,0,39
,0,41,,,,,,,0,39
,0,42,,,,,,,0,39
,0,41,,,,,,,0,39
,0,41,,,,,,,0,39
,0,41,,,,,,,0,39
,0,41,,,,,,,0,38
,0,41,,,,,,,0,38
,0,41,,,,,,,0,38
,0,42,,,,,,,0,38
,0,42,,,,,,,0,37
,0,41,,,,,,,0,37
,0,40,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,37
,0,39,,,,,,,0,36
,0,39,,,,,,,0,36
,0,39,,,,,,,0,35
,0,38,,,,,,,0,35
,0,38,,,,,,,0,34
,0,38,,,,,,,0,33
,0,38,,,,,,,0,33
,0,37,,,,,,,0,33
,0,37,,,,,,,0,33
,0,37,,,,,,,0,33
,0,37,,,,,,,0,33
,0,37,,,,,,,0,33
,0,37,,,,,,,0,32
,0,37,,,,,,,0,31
,0,37,,,,,,,0,31
,0,37,,,,,,,0,31
,0,37,,,,,,,0,31
,0,36,,,,,,,0,31
,0,36,,,,,,,0,29
,0,35,,,,,,,0,28
,0,35,,,,,,,0,28
,0,34,,,,,,,0,27
,0,33,,,,,,,0,27
,0,33,,,,,,,0,26
,0,33,,,,,,,0,26
,0,33,,,,,,,0,26
,0,33,,,,,,,0,25
,0,33,,,,,,,0,25
,0,33,,,,,,,0,25
,0,32,,,,,,,0,25
,0,31,,,,,,,0,25
,0,31,,,,,,,0,24
,0,31,,,,,,,0,24
,0,31,,,,,,,0,23
,0,31,,,,,,,0,23
,0,29,,,,,,,0,23
,0,28,,,,,,,0,23
,0,28,,,,,,,0,23
,0,27,,,,,,,0,23
,0,27,,,,,,,0,23
,0,26,,,,,,,0,22
,0,26,,,,,,,0,22
,0,26,,,,,,,0,22
,0,25,,,,,,,0,22
,0,25,,,,,,,0,22
,0,25,,,,,,,0,22
,0,25,,,,,,,0,22
,0,25,,,,,,,0,22
,0,24,,,,,,,0,22
,0,24,,,,,,,0,22
,0,23,,,,,,,0,22
,0,23,,,,,,,0,22
,0,23,,,,,,,0,22
,0,23,,,,,,,0,21
,0,23,,,,,,,0,21
,0,23,,,,,,,0,21
,0,23,,,,,,,0,22
,0,22,,,,,,,0,22
,0,22,,,,,,,0,22
,0,22,,,,,,,0,22
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,21
,0,22,,,,,,,0,20
,0,22,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,22,,,,,,,0,20
,0,22,,,,,,,0,20
,0,22,,,,,,,0,20
,0,22,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,21,,,,,,,0,20
,0,20,,,,,,,0,20
,0,20,,,,,,,0,19
,0,20,,,,,,,0,19
,0,20,,,,,,,0,19
,0,20,,,,,,,0,19
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,20,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,18
,0,19,,,,,,,0,17
,0,19,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,18
,0,18,,,,,,,0,17
