BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,,Numbr of Inactive Ants,Number of Foragers
16-loop_import_nest_midden_trail_inactive_interact_foragers_thod_plots.nlogo,,,,,,,,,,96,0
experiment,,,,,,,,,,96,0
03/04/2011 16:13:30:921 -0700,,,,,,,,,,96,0
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,96,0
,43,53,,,,,,,,41,55
,43,53,,,,,,,,41,55
,43,53,,,,,,,,41,55
,43,53,,,,,,,,40,56
,43,53,,,,,,,,40,56
,43,53,,,,,,,,40,56
,43,53,,,,,,,,40,56
,43,53,,,,,,,,40,56
,42,54,,,,,,,,40,56
,42,54,,,,,,,,40,56
,42,54,,,,,,,,40,56
,42,54,,,,,,,,40,56
,42,54,,,,,,,,39,57
,42,54,,,,,,,,39,57
,42,54,,,,,,,,39,57
,42,54,,,,,,,,39,57
,42,54,,,,,,,,39,57
,41,55,,,,,,,,38,58
,41,55,,,,,,,,38,58
,41,55,,,,,,,,38,58
,40,56,,,,,,,,38,58
,40,56,,,,,,,,38,58
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,40,56,,,,,,,,37,59
,39,57,,,,,,,,37,59
,39,57,,,,,,,,37,59
,39,57,,,,,,,,36,60
,39,57,,,,,,,,36,60
,39,57,,,,,,,,36,60
,38,58,,,,,,,,36,60
,38,58,,,,,,,,36,60
,38,58,,,,,,,,36,60
,38,58,,,,,,,,36,60
,38,58,,,,,,,,36,60
,37,59,,,,,,,,36,60
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,37,59,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,36,60,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,35,61
,35,61,,,,,,,,35,61
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,35,61,,,,,,,,36,60
,36,60,,,,,,,,36,60
,36,60,,,,,,,,36,60
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,35,61,,,,,,,,37,59
,35,61,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,36,60,,,,,,,,37,59
,37,59,,,,,,,,38,58
,37,59,,,,,,,,39,57
,37,59,,,,,,,,39,57
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,37,59
